ID,first_name,last_name,player_id
651,Dexter,Dennis,1641926
652,Delon,Wright,1626153
653,Matthew,Cleveland,1642888
654,DJ,Rodman,1642485
655,Justin,Minaya,1631303
656,James,Johnson,201949
657,P.J.,Tucker,200782
658,Vlatko,Cancar,1628427
659,Torrey,Craig,1628470
660,Kevin,Knox II,1628995
661,Chuma,Okeke,1629643
662,Tristan,Thompson,202684
663,Ben,Simmons,1627732
664,Patty,Mills,201988
665,Malik,Beasley,1627736
666,Shake,Milton,1629003
667,Markieff,Morris,202693
668,Cory,Joseph,202709
669,Alec,Burks,202692
670,Lamar,Stevens,1630205
671,Trey,Lyles,1626168
672,Jae,Crowder,203109
673,Talen,Horton-Tucker,1629659
674,Kai,Jones,1630539
675,Kylor,Kelley,1630283
676,Keion,Brooks Jr.,1631232
677,Alex,Ducas,1642505
678,Elfrid,Payton,203901
679,Damion,Lee,1627814
680,Bol,Bol,1629626
681,DaQuan,Jeffries,1629610
682,Jaylen,Sims,1631301
683,Miles,Norris,1641936
684,Keon,Johnson,1630553
685,Maxwell,Lewis,1641721
686,Richaun,Holmes,1626158
687,Josh,Christopher,1630528
688,JT,Thor,1630550
689,Lonnie,Walker IV,1629022
690,Marcus,Bagley,1630542
691,Isaiah,Mobley,1630600
692,Jalen,Hood-Schifino,1641720
693,Ricky,Council IV,1641741
694,Jack,McVeigh,1629098
695,Kenyon,Martin Jr.,1630231
696,Trevelin,Queen,1630243
697,Jeff,Dowtin Jr.,1630288
698,Alex,Reese,1642024
699,Taran,Armstrong,1642379
700,Cole,Swider,1631306
701,Jaylen,Martin,1641798
702,Vasilije,Micic,203995
703,Mason,Jones,1630222
704,Jesse,Edwards,1642399
705,Terry,Taylor,1630678
706,Cam,Reddish,1629629
707,Oshae,Brissett,1629052
708,Marcus,Garrett,1630585
709,Brandon,Boston Jr.,1630527
710,Malachi,Flynn,1630201
711,Jalen,McDaniels,1629667
712,Yuri,Collins,1641879
713,Liam,Robbins,1641857
714,Johnny,Davis,1631098
715,Erik,Stevenson,1641907
716,Jahlil,Okafor,1626143
717,Daishen,Nix,1630227
718,Isaiah,Wong,1631209
719,Jaylen,Nowell,1629669
720,Christian,Wood,1626174
721,Armel,Traore,1642422
722,Josh,Richardson,1626196
723,Reggie,Jackson,202704
724,Daniel,Theis,1628464
725,Chris,Duarte,1630537
726,Taze,Moore,1631386
727,Quincy,Olivari,1642439
728,Eugene,Omoruyi,1630647
729,Bruno,Fernando,1628981
730,Adama,Sanogo,1641766
731,PJ,Dozier,1628408
732,Boo,Buie III,1642486
733,Cui,Yongxi,1642385
734,D.J.,Carton,1630618
735,Grayson,Murphy,1642438
736,DJ,Steward,1630569
737,Nassir,Little,1629642
738,Miye,Oni,1629671
739,Armando,Bacot,1630654
740,Maozinha,Pereira,1641970
741,Warren,Washington,1642514
742,Jahmi'us,Ramsey,1630186
743,Amari,Bailey,1641735
744,Jarrett,Culver,1629633
745,John,Butler Jr.,1631219
746,Taylor,Funk,1641917
747,T.J.,Warren,203933
748,Brodric,Thomas,1630271
749,Boogie,Ellis,1642407
750,Frank,Kaminsky,1626163
751,Jermaine,Samuels Jr.,1631257
752,Seth,Lundy,1641754
753,Cody,Zeller,203469
754,Keita,Bates-Diop,1628966
755,Anzejs,Pasecniks,1628394
756,Jamarion,Sharp,1642481
757,Harry,Giles III,1628385
